zipcode,lat,long
28433,34.503,-78.6313
28512,34.6991,-76.7402
27212,36.4664,-79.2755
28601,35.7576,-81.3289
28673,35.5962,-81.0339
28903,34.9917,-84.1677
27932,36.0908,-76.6224
27941,36.1025,-75.8169
27959,35.8865,-75.6038
27711,36.0512,-78.8577
28164,35.3516,-81.0959
27935,36.4341,-76.8463
27946,36.3543,-76.6178
27582,36.4482,-78.5703
28761,35.6732,-81.9056
28741,35.0705,-83.216
28236,35.2271,-80.8431
28254,35.26,-80.8042
28278,35.2072,-80.9568
28388,35.2803,-79.4327
27815,35.8979,-77.7935
28407,34.0881,-77.8526
27837,35.558,-77.2566
27884,35.7104,-77.2722
28590,35.5336,-77.391
28371,34.9006,-78.9969
28383,34.5887,-79.2618
28138,35.5494,-80.4226
28147,35.6817,-80.5615
28074,35.2247,-81.8851
28352,34.7599,-79.4673
27019,36.2725,-80.2254
27925,35.9057,-76.2345
27587,35.9815,-78.5392
27656,35.7977,-78.6253
28618,36.2136,-81.5163
28691,36.2092,-81.7789
27863,35.4929,-77.9578
28642,36.2286,-80.787
28615,36.45,-81.6506
28643,36.5176,-81.5269
27817,35.4814,-77.0868
28467,33.9047,-78.5744
28589,34.7893,-76.5052
28431,34.3223,-78.8267
28519,35.1215,-77.0208
28560,35.1204,-76.9842
27916,36.3045,-75.9029
27351,35.6605,-80.2836
28398,35.018,-78.031
27706,35.997,-78.9422
27710,36.0512,-78.8577
27938,36.4072,-76.7325
27263,35.9359,-79.9395
27521,35.4082,-78.6627
28739,35.3192,-82.5
28793,35.2927,-82.5036
27986,36.3826,-76.936
28660,35.9593,-80.8511
28688,35.9085,-80.8073
28783,35.2599,-83.0749
27593,35.5907,-78.3607
28572,35.0573,-77.6943
28033,35.421,-81.3054
28744,35.1823,-83.3815
28216,35.2834,-80.8702
28287,35.26,-80.8042
28296,35.2252,-80.8458
27816,36.0901,-78.0705
27878,35.8654,-77.8389
28338,35.0914,-79.7524
28367,35.1704,-79.7228
28167,35.4732,-81.9685
28382,34.9639,-78.5133
28393,34.9857,-78.2121
28447,34.6233,-78.2342
28129,35.246,-80.3413
27007,36.3859,-80.5895
28702,35.3698,-83.5652
27597,35.8321,-78.3174
27602,35.7587,-78.6711
27626,35.7977,-78.6253
27640,35.7977,-78.6253
27675,35.7977,-78.6253
27020,36.1242,-80.8137
28629,36.3405,-81.3653
27983,36.0159,-76.9336
28803,35.5393,-82.518
28628,35.729,-81.7793
28086,35.2516,-81.3806
28090,35.4449,-81.5336
28424,34.2907,-78.6994
28561,35.1037,-77.0759
